timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1719514676362,298,Fetch Page,200,"Embedded resource download error:https://lgov-perftest.london.gov.uk/sites/default/files/styles/media_component_16_9_lg/public/media-icons/generic/video.png?h=52605a11&itok=tkL-JcH_ code:404 message:Not Found, ",Baseline 1VU 1-1,text,false,,60467,1612,1,1,https://lgov-perftest.london.gov.uk/programmes-strategies/arts-and-culture/vision-and-strategy/london-cultural-tourism-toolkit,110,0,23
1719514681358,270,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,183469,7615,1,1,https://lgov-perftest.london.gov.uk/programmes-strategies/planning/implementing-london-plan/londons-opportunity-areas/oa-locations/london-riverside-opportunity-area,122,0,35
1719514686934,82,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,22300,454,1,1,https://lgov-perftest.london.gov.uk/motions/tube-noise-2,82,0,19
1719514691398,106,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,74600,1029,1,1,https://lgov-perftest.london.gov.uk/city-hall-blog/looking-back-londons-olympic-summer,86,0,22
1719514696522,401,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,83647,1020,1,1,https://lgov-perftest.london.gov.uk/programmes-strategies/register-uefa-euro-2020-updates,370,0,19
1719514702248,163,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,62090,1033,1,1,https://lgov-perftest.london.gov.uk/city-hall-blog/what-i-gained-volunteering,97,0,32
1719514707448,198,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,145948,6869,1,1,https://lgov-perftest.london.gov.uk/ive-been-affected-knife-crime-and-need-help-dealing-can-someone-help-me,91,0,25
1719514711772,388,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,70445,1057,1,1,https://lgov-perftest.london.gov.uk/programmes-strategies/communities-and-social-justice/london-food-strategy/london-food-board,363,0,21
1719514717686,201,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,176319,7346,1,1,https://lgov-perftest.london.gov.uk/city-hall-blog/international-zero-emission-bus-conference-2016,75,0,18
1719514723677,197,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,57123,1030,1,1,https://lgov-perftest.london.gov.uk/city-hall-blog/celebration-african-cultures-food-fashion-music-and-dance,172,0,21
1719514728748,85,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,27124,616,1,1,https://lgov-perftest.london.gov.uk/programmes-strategies/jobs-and-skills/london-multiply-programme/london-multiply-faqs/how-will-gla-ensure-providers-are-struggling-meet-their-target-first-financial-year-are-supported,85,0,20
1719514733661,100,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,22780,537,1,1,https://lgov-perftest.london.gov.uk/programmes-strategies/arts-and-culture/music/sounds-london-0/sounds-london-events/huw-stephens-presents,99,0,17
1719514737856,116,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,67384,1075,1,1,https://lgov-perftest.london.gov.uk/who-we-are/city-halls-partners/old-oak-and-park-royal-development-corporation-opdc/faqs-opdc/faqs-about-us-0,92,0,18
1719514743850,104,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,25627,565,1,1,https://lgov-perftest.london.gov.uk/programmes-strategies/communities-and-social-justice/migrant-londoners-hub/housing-and-homelessness/homelessness-and-rough-sleeping,104,0,21
1719514748799,207,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,151614,6805,1,1,https://lgov-perftest.london.gov.uk/who-we-are/what-london-assembly-does/news-stephen-knight,95,0,20
1719514754296,153,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,42399,1102,1,1,https://lgov-perftest.london.gov.uk/programmes-strategies/planning/london-plan/past-versions-and-alterations-london-plan/london-plan-2016/london-plan-chapter-two-londons-places/policy-7,92,0,18
1719514760083,81,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,22415,539,1,1,https://lgov-perftest.london.gov.uk/programmes-strategies/mayors-office-policing-and-crime/data-and-statistics/policing/action-plan-dashboard,81,0,19
1719514764969,98,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,24652,599,1,1,https://lgov-perftest.london.gov.uk/programmes-and-strategies/environment-and-climate-change/climate-change/london-climate-action-week-events/community-energy-climate-emergency-west-london-takes-action,97,0,20
1719514769915,377,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,185119,9035,1,1,https://lgov-perftest.london.gov.uk/programmes-strategies/housing-and-land/improving-private-rented-sector/report-rogue-landlord-or-agent,250,0,19
1719514775234,102,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,64480,1116,1,1,https://lgov-perftest.london.gov.uk/who-we-are/city-halls-partners/old-oak-and-park-royal-development-corporation-opdc/about-us/press-releases/join-first-its-kind-community-review-group,75,0,16
1719514779670,83,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,22412,444,1,1,https://lgov-perftest.london.gov.uk/node/29147,83,0,19
1719514784963,180,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,76397,1035,1,1,https://lgov-perftest.london.gov.uk/take-part/events/2016-05-20/big-dance-2016/big-dance-baylis-sadlers-wells,94,0,18
1719514790014,85,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,27150,618,1,1,https://lgov-perftest.london.gov.uk/programmes-strategies/jobs-and-skills/london-multiply-programme/london-multiply-faqs/if-one-learner-enrolled-two-different-interventions-two-different-terms-do-we-count-learner-once-or,85,0,18
1719514794897,107,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,47545,1094,1,1,https://lgov-perftest.london.gov.uk/programmes-strategies/arts-and-culture/music/sounds-london-0/sounds-london-events/yuja-wang-recital-barbican-hall,79,0,19
1719514800870,205,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,22813,584,1,1,https://lgov-perftest.london.gov.uk/programmes-strategies/planning/london-plan/past-versions-and-alterations-london-plan/london-plan-2016/london-plan-chapter-seven-londons-living-spac-24,205,0,19
1719514806226,209,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,91049,1552,1,1,https://lgov-perftest.london.gov.uk/city-hall-blog/what-goals-young-londoners,95,0,25
1719514810344,88,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,22491,538,1,1,https://lgov-perftest.london.gov.uk/programmes-strategies/education-and-youth/schools-success/schools-success-profiles/rutlish-school-201819,88,0,20
1719514815865,106,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,104387,1087,1,1,https://lgov-perftest.london.gov.uk/programmes-strategies/mayors-office-policing-and-crime-mopac/mopac-governance-and-decision-making/london-reducing-reoffending-board,87,0,17
1719514822065,364,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,642710,9653,1,1,https://lgov-perftest.london.gov.uk/programmes-strategies/better-infrastructure/infrastructure-coordination/planning-service,181,0,19
1719514827842,122,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,489491,1027,1,1,https://lgov-perftest.london.gov.uk/programmes-strategies/transport/improving-londons-roads/vision-zero-london,77,0,23
1719514832794,230,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,117831,8086,1,1,https://lgov-perftest.london.gov.uk/city-hall-blog/london-overground-extends-barking-riverside,117,0,21
1719514837111,171,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,247406,7529,1,1,https://lgov-perftest.london.gov.uk/programmes-strategies/environment-and-climate-change/parks-green-spaces-and-biodiversity/trees-and-woodlands,92,0,17
1719514841993,397,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,229929,7810,1,1,https://lgov-perftest.london.gov.uk/programmes-strategies/fire-and-resilience/london-resilience-partnership/contact-london-resilience-partnership,253,0,29
1719514846423,114,Fetch Page,200,OK,Baseline 1VU 1-1,text,true,,72284,1018,1,1,https://lgov-perftest.london.gov.uk/take-part/events/2017-05-06/westminster-morris-men-day-dance,94,0,17
