timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1719589592659,1217,Fetch Page,200,OK,VU Ramp 1 1-296,text,true,,174937,8707,7,7,https://lgov-perftest.london.gov.uk/search?query=relations,1123,0,23
1719589596084,1157,Fetch Page,200,OK,VU Ramp 1 1-294,text,true,,309373,14734,8,8,https://lgov-perftest.london.gov.uk/search?query=employers,968,0,18
1719589597181,945,Fetch Page,200,OK,VU Ramp 1 1-297,text,true,,295554,13540,8,8,https://lgov-perftest.london.gov.uk/search?query=gyratory,782,0,17
1719589598129,983,Fetch Page,200,OK,VU Ramp 1 1-297,text,true,,167037,8191,8,8,https://lgov-perftest.london.gov.uk/search?query=race,899,0,17
1719589599114,1360,Fetch Page,200,OK,VU Ramp 1 1-297,text,true,,45926,2646,8,8,https://lgov-perftest.london.gov.uk/search?query=shop,1259,0,24
1719589600477,1145,Fetch Page,200,OK,VU Ramp 1 1-297,text,true,,31337,984,8,8,https://lgov-perftest.london.gov.uk/search?query=disposal,1125,0,18
1719589601623,880,Fetch Page,200,OK,VU Ramp 1 1-297,text,true,,56736,3669,8,8,https://lgov-perftest.london.gov.uk/search?query=covent,793,0,18
1719589602505,1297,Fetch Page,200,OK,VU Ramp 1 1-297,text,true,,60062,4305,9,9,https://lgov-perftest.london.gov.uk/search?query=intern,1198,0,24
1719589603498,1234,Fetch Page,200,OK,VU Ramp 1 1-294,text,true,,199302,11976,9,9,https://lgov-perftest.london.gov.uk/search?query=budget,1089,0,19
1719589604734,1033,Fetch Page,200,OK,VU Ramp 1 1-294,text,true,,23703,452,9,9,https://lgov-perftest.london.gov.uk/search?query=alert,1033,0,23
1719589605771,1270,Fetch Page,200,OK,VU Ramp 1 1-294,text,true,,98022,2043,9,9,https://lgov-perftest.london.gov.uk/search?query=firms,1127,0,19
1719589607043,1271,Fetch Page,200,OK,VU Ramp 1 1-294,text,true,,74925,3686,9,9,https://lgov-perftest.london.gov.uk/search?query=barnet,1150,0,18
1719589608316,1146,Fetch Page,200,OK,VU Ramp 1 1-294,text,true,,50276,1559,10,10,https://lgov-perftest.london.gov.uk/search?query=science,1057,0,18
1719589609463,1341,Fetch Page,200,OK,VU Ramp 1 1-294,text,true,,76367,4726,10,10,https://lgov-perftest.london.gov.uk/search?query=quality,1246,0,21
1719589610805,1071,Fetch Page,200,OK,VU Ramp 1 1-294,text,true,,42870,2055,10,10,https://lgov-perftest.london.gov.uk/search?query=unicef,999,0,19
1719589611759,1057,Fetch Page,200,OK,VU Ramp 1 1-296,text,true,,55103,3710,10,10,https://lgov-perftest.london.gov.uk/search?query=stations,967,0,24
1719589611878,1086,Fetch Page,200,OK,VU Ramp 1 1-294,text,true,,73484,2602,10,10,https://lgov-perftest.london.gov.uk/search?query=barkingside,1013,0,16
1719589612966,899,Fetch Page,200,OK,VU Ramp 1 1-294,text,true,,50042,3211,10,10,https://lgov-perftest.london.gov.uk/search?query=highgate,800,0,17
1719589612818,1246,Fetch Page,200,OK,VU Ramp 1 1-296,text,true,,50833,2083,10,10,https://lgov-perftest.london.gov.uk/search?query=childhood,1154,0,20
1719589613867,962,Fetch Page,200,OK,VU Ramp 1 1-298,text,true,,24991,455,11,11,https://lgov-perftest.london.gov.uk/search?query=damaging,962,0,18
1719589614065,898,Fetch Page,200,OK,VU Ramp 1 1-296,text,true,,40616,2128,11,11,https://lgov-perftest.london.gov.uk/search?query=hospitals,848,0,20
1719589613867,1429,Fetch Page,200,OK,VU Ramp 1 1-294,text,true,,47100,2636,11,11,https://lgov-perftest.london.gov.uk/search?query=profession,1316,0,17
1719589614965,1243,Fetch Page,200,OK,VU Ramp 1 1-296,text,true,,57312,3772,11,11,https://lgov-perftest.london.gov.uk/search?query=norwood,1139,0,15
